Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,62,71500,63300,5048000,123825,469200,1625000,472500,20355000,272400,299700,665250,56050
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,187,74800,66250,5267500,129525,491200,1704000,494500,21495000,284900,312525,700500,58250
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,1573,379500,342000,26959750,668950,2544800,8774000,2555000,113010000,1466200,1626225,3682500,296900
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,8,7600,6650,556000,12975,49300,171000,49500,2145000,28600,30900,69000,5850
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,109,7300,6550,511250,12800,48500,168000,49000,2122500,28100,31050,69750,5750
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,11,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,4,1700,1500,125250,2975,11300,39000,11500,487500,6500,7050,15750,1350
AR101487259705933824,MANUEL E LLOSAS,,US,US-Federal,2,300,250,18750,450,1700,6000,2000,75000,1000,1125,2250,200
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,37,106200,95450,7471750,186675,706300,2456000,712500,31305000,411700,451950,1020750,85850
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,1,300,300,22500,550,2100,7000,2000,97500,1200,1350,3000,250
AR103092134365626368,NEOS Rathausklub,,"AT, EU",EU-Parliament,13,7800,7000,546250,13700,51800,180000,52500,2287500,30200,33150,75000,6400
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,1,3500,3150,241500,6125,23100,80000,23500,1020000,13400,14775,33000,2850
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,3,200,200,17500,425,1600,6000,1500,75000,1000,1050,2250,200
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,22,6400,5750,454000,11250,42800,148000,43000,1897500,24600,27375,62250,5000
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,12,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,14,15200,13550,1057750,26550,100800,350000,101500,4425000,58400,64650,145500,11950
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,4859,3623800,3238150,255520500,6333675,24009900,83181000,24174000,1058107500,13957800,15285075,34274250,2884550
AR106804085620998144,"EXACT DRIVE, INC.",EIN ID 27-1797458,US,US-Federal,6,0,0,250,0,0,0,0,0,0,0,0,0
AR106878165216919552,TROY KING FOR CONGRESS,EIN ID 84-2958173,US,US-Federal,1,0,0,500,25,100,0,0,0,0,0,0,0
AR108481940364984320,BIDEN FOR PRESIDENT,FEC ID C00703975,US,US-Federal,34,57600,52150,4115750,102000,386000,1348000,389500,17280000,226200,246975,557250,46500
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,US,US-Federal,9,400,350,30750,700,2700,9000,2500,120000,1500,1650,3750,300
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,US,US-Federal,571,277500,241650,20167500,472675,1795100,6234000,1802500,78135000,1040500,1126050,2508750,213300
AR109486619114864640,AKULA SATYANARAYANA,,IN,IN-General,2,400,350,27250,675,2600,9000,2500,112500,1500,1650,3750,300
AR109607840271826944,LIVE ACTION,EIN ID 42-1764425,US,US-Federal,1,0,0,1500,25,100,0,0,7500,100,75,0,0
AR109649346835775488,DANA OUTLAW FOR CONGRESS,FEC ID C00698787,US,US-Federal,14,1600,1450,112000,2800,10600,37000,10500,457500,6100,6825,15000,1250
AR109939068149694464,CENTER FORWARD,FEC ID C90012998,US,US-Federal,16,25500,22950,1841000,44850,170000,592000,171000,7515000,99300,108075,243750,20500
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,US,US-Federal,1,0,0,1500,50,100,1000,0,7500,100,75,0,0
AR110133406829903872,HFC INC,EIN ID 84-2792814,US,US-Federal,19,118800,107500,8473000,210225,796700,2771000,802000,35565000,466400,509400,1155000,95700
AR110277717731049472,LEAGUE OF CONSERVATION VOTERS ACTION FUND,FEC ID C00252940,US,US-Federal,10,96500,84800,7068500,165825,630300,2191000,632500,27412500,366300,395325,878250,74900
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,US,US-Federal,28,12800,11200,935750,21900,83200,289000,83500,3615000,48200,52200,116250,9850
AR111703784312274944,NEVADA STATE DEMOCRATIC PARTY,FEC ID C00208991,US,US-Federal,34,0,50,3500,75,300,1000,500,15000,200,225,750,50
AR111802190602960896,"W.R.P.R., s.r.o.",,"EU, SK",EU-Parliament,1,300,300,23250,575,2200,8000,2000,97500,1300,1425,3000,250
AR111944714797711360,NEED TO IMPEACH,FEC ID C00658526,US,US-Federal,26,7500,6750,532500,13175,50100,172000,50500,2220000,28800,32025,72000,5800
AR112255739149418496,MATT ROSENDALE FOR MONTANA,FEC ID C00548289,US,US-Federal,23,12400,10700,886000,20975,79600,276000,80000,3465000,46100,49875,111750,9550
AR112555630945894400,DR MANNY FOR US SENATE,EIN ID 84-1927181,US,US-Federal,61,12200,10950,852500,21425,81000,281000,82000,3577500,47000,51825,116250,9850
AR112672728934252544,Alternative für Deutschland (AfD) - Kreisverband Köln,,"DE, EU",EU-Parliament,3,2800,2500,196250,4925,18700,65000,19000,825000,10800,12000,27000,2200
AR1128098930098176,PATRICK MURPHY FOR CONGRESS,FEC ID C00411991,US,US-Federal,13,6800,5900,496750,11575,44000,153000,44000,1912500,25400,27600,61500,5200
AR113027046556303360,Janika Takatalo,,"EU, FI",EU-Parliament,16,1100,1000,78000,1950,7400,26000,7500,322500,4300,4725,10500,850
AR113035292893511680,"YES ON E, SAN FRANCISCANS FOR THE ARTS",EIN ID 81-2822893,US,US-Federal,4,3200,2800,234250,5500,20900,73000,21000,907500,12100,13050,29250,2500
AR113155139660939264,GROHMAN FOR CONGRESS,FEC ID C00676528,US,US-Federal,10,9400,8200,689750,16025,60900,212000,61000,2647500,35300,38250,84750,7250
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,US,US-Federal,15,1100,950,77250,1850,7000,24000,7000,307500,4100,4425,9750,850
AR113835462480625664,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ,,"DE, EU, GR",EU-Parliament,109,11900,10500,816000,20525,77700,267000,78500,3390000,44600,49575,111000,9400
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,US,US-Federal,4,4900,4250,337000,8300,31400,109000,31500,1372500,18200,19725,43500,3750
AR114793686864232448,Progresívne Slovensko,,"AT, CZ, EU, HU, SK",EU-Parliament,325,53200,48150,3782250,94150,357000,1241000,359500,15907500,208400,228300,515250,42600
AR116025139887341568,Partidul Pro Romania,,"EU, GB, RO",EU-Parliament,225,33100,29600,2315750,57925,219900,763000,221000,9652500,127500,141000,318750,25950
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,FEC ID C00652297,US,US-Federal,55,10100,8700,727000,17050,64700,225000,65000,2827500,37600,40575,90750,7750
AR11739623088717824,POOLHOUSE AGENCY LLC,EIN ID 46-3943724,US,US-Federal,3,0,50,3250,75,300,1000,500,15000,200,225,750,50
AR117739278515044352,BARCELONA PEL CANVI - CIUTADANS,,"ES, EU",EU-Parliament,13,3000,2700,210750,5275,20000,69000,20000,870000,11600,12825,28500,2350
AR117976635587690496,"Freiheitliche Partei Österreichs (FPÖ), Landespartei Steiermark",,"AT, EU",EU-Parliament,48,1400,1250,97000,2400,9200,31000,9000,405000,5200,5850,13500,1050
AR118173585608015872,Aalborg Venstrevælger forening,,"DK, EU",EU-Parliament,40,2300,2100,163000,4100,15500,54000,15500,675000,9000,9900,22500,1850
AR118595523195174912,ROHRABACHER FOR CONGRESS,FEC ID C00224691,US,US-Federal,3,72500,63550,5304000,124250,472200,1641000,474000,20512500,273900,296175,657750,55900
AR119011138590474240,WICKER FOR SENATE,FEC ID C00443218,US,US-Federal,315,20400,17650,1442250,34475,130700,455000,131500,5677500,75900,82125,182250,15500
AR119350612805550080,MATT COX FOR NC SENATE,EIN ID 83-3855386,US,US-Federal,1,100,100,9000,225,900,3000,1000,37500,500,525,1500,100
AR119554297334595584,CAM CAVASSO 4 CONGRESS,FEC ID C00680876,US,US-Federal,2,400,350,28500,650,2500,9000,2500,105000,1400,1575,3750,300
AR120137038497316864,BOB CASEY FOR SENATE INC,FEC ID C00431056,US,US-Federal,84,396100,343850,28852750,672500,2553200,8861000,2565000,111307500,1479200,1602000,3573000,304300
AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,FEC ID C00637371,US,US-Federal,77,1800,1550,126250,3000,11400,40000,11500,495000,6600,7200,15750,1350
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,FEC ID C00575209,US,US-Federal,35,36000,31250,2606750,61150,232100,806000,233000,10125000,134600,145650,324750,27700
AR120710983567015936,Marinda Kimmel for House,EIN ID 82-1523341,US,US-Federal,1,0,0,750,25,100,0,0,0,0,75,0,0
AR120814887415840768,THOM TILLIS COMMITTEE,EIN ID 46-2864060,US,US-Federal,12,4700,4150,325250,8150,30900,107000,31000,1342500,17800,19725,44250,3650
AR120847323008860160,DEDICATEDEMAILS.COM,EIN ID 45-4445561,US,US-Federal,3408,3574800,3186050,252429250,6231525,23620200,81968000,23784000,1036995000,13712300,15055800,33695250,2825300
AR12094627905536000,AMMAR CAMPA FOR CONGRESS,FEC ID C00635888,US,US-Federal,15,26600,22950,1905000,44925,170700,591000,171500,7455000,98700,106800,241500,20550
AR121262938404159488,GREAT AMERICA PAC,FEC ID C00608489,US,US-Federal,308,13500,11850,935250,23150,87800,305000,88500,3817500,50800,55650,124500,10400
AR122780539328397312,Ioannis Vardakastanis,,"EU, GR",EU-Parliament,1,300,250,20500,500,1900,7000,2000,82500,1100,1275,3000,250
AR123113141595799552,"PATIENTS AND CAREGIVERS TO PROTECT DIALYSIS PATIENTS, SPONSORED  BY THE CALIFORNIA DIALYSIS COUNCIL",EIN ID 95-3778604,US,US-Federal,2,100,100,6250,150,600,2000,500,22500,300,375,750,50
AR123368228293443584,LYNN AFENDOULIS FOR CONGRESS,EIN ID 84-2230151,US,US-Federal,4,300,300,24500,600,2300,8000,2500,105000,1300,1500,3000,250
AR123455089712037888,MICHAEL WALTZ FOR CONGRESS,EIN ID 82-4088281,US,US-Federal,1,100,100,9750,250,900,3000,1000,37500,500,600,1500,100
AR123635684496900096,"GOP SCOUTS, INC.",EIN ID 83-1486714,US,US-Federal,43,1600,1400,117000,2725,10400,36000,10500,450000,6000,6525,14250,1250
AR124593908880506880,Vapaus ry,,"EU, FI",EU-Parliament,24,300,250,18750,475,1800,6000,2000,75000,1000,1125,2250,200
AR124792370729320448,American Leadership Committee,EIN ID 83-1273004,US,US-Federal,17,7000,6150,517000,11975,45500,158000,45500,1980000,26400,28575,63750,5400
AR12498698428743680,NÁRODNÁ KOALÍCIA,,"EU, SK",EU-Parliament,8,3400,3050,237250,5950,22600,78000,22500,982500,13100,14475,32250,2650
AR126746477769785344,"Arco Estrategias de Marketing, S.L.",,"ES, EU",EU-Parliament,63,2500,2200,171500,4300,16300,57000,16500,712500,9400,10425,23250,1950
AR127078805159280640,Indian PAC Consulting Private Limited,,IN,IN-General,1,0,0,1750,50,200,1000,0,7500,100,75,0,0
AR127323446496460800,FRIENDS OF GEORGE FLINN,FEC ID C00608406,US,US-Federal,3,2700,2300,183000,4475,16900,59000,17000,742500,10000,10650,23250,2000
AR127820563191169024,MSZP,,"EU, HU",EU-Parliament,22,900,800,62000,1550,5900,20000,6000,262500,3400,3750,8250,700
AR128018337845215232,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,FEC ID C00010603,US,US-Federal,485,163800,144400,11584500,282450,1072600,3708000,1078000,46605000,620800,681075,1509000,127000
AR128025209792888832,Evropa společně,,"CZ, EU",EU-Parliament,8,1900,1650,130250,3250,12300,43000,12500,540000,7200,7950,18000,1450
AR128797891589308416,FUTURE45,FEC ID C00574533,US,US-Federal,2,17600,15500,1285250,30275,115100,400000,115500,4987500,66800,72150,159750,13600
AR129396163353772032,JOHN BELL FOR STATE SENATE,EIN ID 83-1655345,US,US-Federal,2,11100,9950,787250,19500,74400,255000,74500,3277500,42500,47400,107250,8600
AR129592288740376576,Venstre på Østerbro,,"DK, EU",EU-Parliament,47,5500,4950,384750,9650,36600,127000,37000,1597500,21100,23400,52500,4350
AR12998976219381760,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,FEC ID C00498121,US,US-Federal,7,2200,1950,151500,3800,14400,50000,14500,622500,8300,9225,20250,1650
AR13000625486823424,"Salem Web Network, LLC",EIN ID 52-2141739,US,US-Federal,60,358300,314300,25244500,614750,2330100,8096000,2345000,101797500,1353800,1472925,3282750,279100
AR130270137658900480,WALTERS FOR CONGRESS,FEC ID C00546853,US,US-Federal,37,3100,2650,219500,5175,19600,68000,19500,855000,11400,12300,27750,2350
AR131024127757647872,WILLIAMS FOR MONTANA,,US,US-Federal,16,25900,22400,1898250,43825,166300,577000,167000,7260000,96400,104550,232500,19800
AR131396037565743104,MIKE BISHOP FOR CONGRESS,FEC ID C00561001,US,US-Federal,22,38900,34000,2837750,66500,252800,878000,253500,10972500,146600,158475,351750,29900
AR131464344725618688,FRIENDS FOR JEN KIGGANS,EIN ID 83-4236165,US,US-Federal,5,100,150,10250,250,1000,3000,1000,45000,600,600,1500,100
AR131699502775009280,ANITA FOR ARIZONA,FEC ID C00655134,US,US-Federal,7,5800,5050,422250,9900,37600,131000,37500,1635000,21800,23550,52500,4500
AR13176547347267584,PENSLER FOR SENATE,FEC ID C00663278,US,US-Federal,82,52200,44850,3570500,87675,331600,1155000,334000,14452500,192700,208425,462000,39700
AR132631338879549440,Lietuvos Respublikos liberalų sąjūdis,,"BG, EU, LT",EU-Parliament,280,10100,9100,711000,17750,67400,234000,68000,2955000,39100,43200,97500,7950
AR133153194585882624,FRICKE FOR CONGRESS,FEC ID C00718643,US,US-Federal,12,0,50,2750,75,300,1000,500,15000,100,150,0,50
AR133964496728227840,GALE PARTNERS LLC,EIN ID 38-3970400,US,US-Federal,146,0,50,2500,50,200,1000,0,7500,100,150,0,50
AR134039538396823552,Freie Demokratische Partei (FDP),,"DE, EU",EU-Parliament,421,45400,40850,3189500,79950,303500,1054000,305000,13447500,176400,194475,440250,35950
AR134254767797960704,JOSH HARDER FOR CONGRESS,FEC ID C00639146,US,US-Federal,83,278200,240600,20265500,470550,1786400,6193000,1794500,77902500,1033500,1121025,2499750,213050
AR134358121890971648,TJ COX FOR CONGRESS,FEC ID C00648956,US,US-Federal,12,13500,11750,993250,23000,87300,304000,87500,3795000,50500,54825,121500,10300
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",FEC ID C00589234,US,US-Federal,12,59100,51150,4233000,100025,379700,1316000,381500,16552500,219900,238050,532500,45450
AR135010682042056704,"UAB ""BPN LT""",,"EU, GB, LT, PL",EU-Parliament,39,3200,2850,224250,5600,21200,74000,21500,930000,12300,13575,30750,2500
AR13594361765822464,GEORGE SCOTT FOR CONGRESS,FEC ID C00640961,US,US-Federal,31,8500,7400,627250,14525,55100,192000,55500,2407500,32000,34650,77250,6550
AR135943617658224640,BALDERSON FOR CONGRESS,FEC ID C00662650,US,US-Federal,15,1800,1550,125750,3075,11600,40000,11500,510000,6700,7275,16500,1400
AR136066488082628608,AMERICAN FUEL & PETROCHEMICAL MANUFACTURERS,EIN ID 53-0115970,US,US-Federal,1,500,400,32000,800,3100,11000,3000,135000,1800,1950,4500,350
AR136630949864538112,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,EIN ID 23-7077256,US,US-Federal,2,0,50,2000,50,200,1000,0,7500,100,150,0,0
AR137025537099956224,VERN BUCHANAN FOR CONGRESS,FEC ID C00412759,US,US-Federal,44,14300,12350,1022250,24125,91600,317000,92000,3997500,53000,57300,129000,11000
AR137146483379011584,MULLIN FOR CONGRESS,FEC ID C00498345,US,US-Federal,9,16400,14250,1155750,27875,105500,368000,106000,4612500,61500,66450,147000,12550
AR137577217059192832,ENVIRONMENTAL DEFENSE FUND INCORPORATED,EIN ID 11-6107128,US,US-Federal,2,0,0,1750,50,200,1000,0,7500,100,75,0,0
AR138151437006798848,MEDIA MATTERS FOR AMERICA,EIN ID 47-0928008,US,US-Federal,34,4300,3750,303250,7350,27800,97000,28000,1200000,16100,17775,39000,3300
AR138361168849797120,GEORGIANS FOR TED TERRY,FEC ID C00711804,US,US-Federal,2,0,0,0,0,0,0,0,0,0,0,0,0
AR139173707942723584,MCLENDON FOR CONGRESS,EIN ID 84-2453146,US,US-Federal,5,300,250,18750,450,1700,6000,2000,75000,1000,1125,2250,200
AR139277336913641472,CATHY MCMORRIS RODGERS FOR CONGRESS,FEC ID C00390476,US,US-Federal,25,23800,20500,1686000,40125,152100,528000,153000,6630000,88100,95400,212250,18200
AR139371345157816320,Uusmaalaisten puolesta ry,,"EU, FI",EU-Parliament,5,1000,850,67750,1700,6500,22000,6500,277500,3700,4125,9000,750
AR139975251919372288,KEAN FOR CONGRESS INC,FEC ID C00703058,US,US-Federal,101,400,400,30750,775,2900,10000,3000,127500,1700,1875,4500,350
AR140403236820484096,Need to Impeach,EIN ID 38-4081998,US,US-Federal,2180,3596300,3160950,254953750,6182425,23459500,81343000,23590000,1016100000,13579300,14881800,33020250,2775050
AR140414231936761856,ASSOCIATED BUILDERS AND CONTRACTORS INC.,FEC ID C90013798,US,US-Federal,27,486300,424450,35679750,830200,3152800,10967000,3166500,137190000,1827300,1979925,4395000,374050
AR140614480491970560,DONALD NORCROSS FOR CONGRESS,FEC ID C00558320,US,US-Federal,13,2600,2350,185250,4625,17500,61000,17500,780000,10200,11175,25500,2050
AR140649527425105920,FRIENDS OF DAN FEEHAN,FEC ID C00649327,US,US-Federal,28,52800,46100,3870750,90150,342400,1191000,344000,14917500,198700,214950,478500,40650
AR140916846189608960,"GADE FOR VIRGINIA, INC.",FEC ID C00716571,US,US-Federal,3,100,100,6500,175,600,2000,500,30000,400,375,750,50
AR141456019204079616,Birchwood & Saks Investment Finland Oy,,"EU, FI",EU-Parliament,1,0,0,0,0,0,0,0,0,0,0,0,0
AR142481313796980736,FREEDOM CLUB STATE PAC,EIN ID 41-1858156,US,US-Federal,1,5000,4350,367250,8450,32100,112000,32500,1402500,18600,20175,45000,3800
AR14302447254110208,DONNELLY FOR INDIANA,FEC ID C00393652,US,US-Federal,259,95500,83050,6941750,162400,616600,2142000,619500,26872500,357400,387000,861000,73350
AR143043713994588160,JIM JORDAN FOR CONGRESS,FEC ID C00416594,US,US-Federal,92,5700,5100,395750,9950,37600,130000,38000,1665000,21800,24075,54000,4500
AR14309319201783808,Partij van de Arbeid,,"EU, NL",EU-Parliament,5,10200,9200,715500,17950,68200,237000,68500,2992500,39500,43725,99000,8050
AR143667824282304512,Komitet Wyborczy Wyborców Rozwój Podkarpacia,,"EU, PL",EU-Parliament,36,1000,900,70500,1775,6700,23000,6500,300000,3900,4275,9750,800
AR143716065354973184,NADLER FOR CONGRESS,FEC ID C00290825,US,US-Federal,5,400,300,26250,625,2300,8000,2500,105000,1400,1500,3000,300
AR143958782546804736,FRIENDS OF TATE REEVES FOR MISSISSIPPI,EIN ID 82-5231016,US,US-Federal,31,17700,15950,1259000,31175,118700,408000,119000,5242500,68200,75750,171000,13850
AR144198750959566848,CASTEN FOR CONGRESS,FEC ID C00648493,US,US-Federal,34,54000,47000,3968250,91925,348900,1213000,350500,15232500,202400,219300,488250,41500
AR144491221052555264,"FLORIDA STRONG ACTION PAC, INC.",EIN ID 81-3275690,US,US-Federal,18,7700,6750,569250,13200,50100,174000,50500,2182500,29000,31425,69750,5950
AR145115193901318144,Partido Animalista PACMA,,"ES, EU",EU-Parliament,20,16900,15050,1179750,29475,111900,388000,112500,4875000,64800,71775,160500,13100
AR14605912463376384,FLANDERS FOR US SENATE,FEC ID C00638791,US,US-Federal,29,7600,6550,554250,12850,48800,169000,49000,2130000,28300,30600,68250,5800
AR146184468959330304,AMERICAN COLLEGE OF RADIOLOGY ASSOCIATION PAC,FEC ID C00343459,US,US-Federal,5,40600,35650,2970000,69775,265300,922000,266000,11520000,154100,166350,369000,31450
AR146306514750013440,JOE WILSON FOR CONGRESS,FEC ID C00368522,US,US-Federal,7,9500,8300,692750,16275,61900,215000,62000,2685000,35900,38775,86250,7350
AR14638897812209664,FRIENDS OF DAVE JOYCE,FEC ID C00527457,US,US-Federal,14,7200,6200,526250,12150,46100,160000,46500,2010000,26600,28950,64500,5500
AR146984913424351232,Tidewater Strategies,EIN ID 46-1913576,US,US-Federal,6,7000,6100,516000,11925,45300,158000,45500,1972500,26300,28500,63750,5400
AR147326998979543040,JAKE AUCHINCLOSS FOR CONGRESS,EIN ID 84-3252235,US,US-Federal,2,1700,1550,121000,3000,11400,39000,11500,502500,6500,7275,16500,1300
AR147589644819628032,JOE CUNNINGHAM FOR CONGRESS,FEC ID C00650507,US,US-Federal,26,18000,15550,1307250,30450,115600,400000,116000,5040000,66900,72525,161250,13800
AR148211418645135360,GroenLinks,,"EU, NL",EU-Parliament,16,15900,14300,1112500,27950,106100,368000,106500,4665000,61500,68025,153750,12550
AR148284536168382464,KIRKPATRICK FOR CONGRESS,FEC ID C00651042,US,US-Federal,24,114100,99200,8355500,194075,736800,2561000,740000,32100000,427000,462750,1028250,87600
AR149014337011318784,ONEGREENOAK LLC,EIN ID 81-4100702,US,US-Federal,1,0,50,2250,50,200,1000,0,7500,100,150,0,0
AR149173766197346304,ΚΩΣΤΗΣ ΧΑΤΖΗΔΑΚΗΣ,,"EU, GR",EU-Parliament,36,11400,10050,784000,19700,74500,257000,75000,3255000,42800,47625,106500,9000
AR149454416540336128,"YOUNG FOR IOWA, INC.",FEC ID C00545616,US,US-Federal,10,19900,17350,1449000,33900,128700,447000,129500,5610000,74700,80775,180000,15300
AR149746886633324544,CHRIS DEPIZZO FOR CONGRESS,FEC ID C00659151,US,US-Federal,31,16700,14500,1220000,28350,107700,374000,108000,4687500,62400,67575,150000,12800
AR150536335982067712,CISNEROS FOR CONGRESS,FEC ID C00650648,US,US-Federal,37,367800,319100,26776000,624150,2370200,8220000,2380500,103170000,1373100,1487100,3308250,281850
AR150782626586689536,TINA SMITH FOR MINNESOTA,FEC ID C00663781,US,US-Federal,75,161200,139500,11729500,272875,1035500,3593000,1040500,45187500,600200,650325,1447500,123400
AR150822483883196416,Partidul Uniunea Salvati Romania,,"DE, ES, EU, FR, GB, IT, RO",EU-Parliament,197,119300,106900,8358500,209050,792900,2754000,798000,34830000,460100,508500,1146000,93400
AR151615506644729856,"AMERICAN ACTION NETWORK, INC",EIN ID 27-0730508,US,US-Federal,13,15000,13250,1038250,25950,98600,341000,99000,4245000,56700,63150,138750,11500
AR152236180958609408,PETE SESSSIONS FOR CONGRESS,FEC ID H2TX03126,US,US-Federal,1,4200,3650,308250,7100,26900,94000,27000,1177500,15600,16950,37500,3200
AR152392036731846656,JOE COLLINS FOR CONGRESS,FEC ID C00705236,US,US-Federal,14,400,400,30500,750,2900,10000,3000,127500,1700,1875,4500,350
AR152876371603881984,CDU-Kreisverband Neustadt,,"DE, EU",EU-Parliament,2,400,400,29750,750,2900,10000,3000,127500,1600,1800,3750,350
AR152882144039927808,Socialdemokraterne Aarhus 1. Kreds,,"DK, EU, PL, RO",EU-Parliament,197,18100,16200,1260750,31650,120000,417000,121000,5242500,69300,76800,172500,14250
AR153498420307296256,ELISE FOR CONGRESS,FEC ID C00547893,US,US-Federal,21,28800,25050,2089000,48950,185700,646000,186500,8100000,107800,116700,259500,22050
AR153505017377062912,EMMER FOR CONGRESS,FEC ID C00545749,US,US-Federal,2,4300,3750,313000,7275,27700,96000,28000,1207500,16000,17325,39000,3300
AR153603011350888448,KUZMICH FOR CONGRESS,EIN ID 83-2539896,US,US-Federal,4,100,50,4750,125,400,1000,500,22500,200,300,750,50
AR15363475974914048,GARRET GRAVES FOR CONGRESS,FEC ID C00558486,US,US-Federal,31,300,200,18750,425,1700,6000,1500,75000,1000,1050,2250,200
AR153768075534008320,Folkstyret,,"EU, SE",EU-Parliament,25,800,700,54750,1375,5200,18000,5000,232500,3000,3300,7500,600
AR153799136737492992,"SETH MOULTON FOR AMERICA, INC",EIN ID 83-4454554,US,US-Federal,15,62000,55200,4322250,107975,409100,1418000,412000,17865000,236400,261975,589500,48450
AR154043503196766208,JASON LEWIS FOR SENATE,EIN ID 84-2732481,US,US-Federal,13,400,350,28000,700,2600,9000,2500,120000,1500,1650,3750,300
AR15428347160952832,KEN HARBAUGH FOR CONGRESS,FEC ID C00646752,US,US-Federal,19,15700,13600,1112250,26600,100900,350000,101500,4395000,58400,63225,141000,12100
AR155046807557111808,The Independent Group (TIG) LTD,,"EU, GB",EU-Parliament,28,9200,8250,645750,16150,61300,213000,61500,2692500,35500,39300,88500,7250
AR15516582969081856,ADDO DIGITAL IKE,,"EU, GR",EU-Parliament,2,100,50,5000,125,500,2000,500,22500,300,300,750,50
AR155750220120981504,PROGRESS NC ACTION IE PAC,EIN ID 83-1926252,US,US-Federal,3,200,200,15750,375,1400,5000,1500,60000,800,900,2250,150
AR156023723638390784,HOUSE MAJORITY FORWARD,EIN ID 83-4185105,US,US-Federal,12,139500,126200,9821000,246850,933400,3250000,942000,41662500,545900,597375,1345500,113200
AR156056708987224064,VANSANT FOR CONGRESS,EIN ID 83-2449223,US,US-Federal,4,100,50,3750,100,400,1000,500,15000,200,225,750,50
AR156165835516280832,MCCASKILL FOR MISSOURI,FEC ID C00431304,US,US-Federal,364,716700,623400,51919250,1219300,4631200,16068000,4650000,201727500,2683600,2902875,6483750,552700
AR156209815981391872,AMERICAN PATRIOTS PAC,FEC ID C00668905,US,US-Federal,16,21500,18650,1542500,36475,138400,481000,139000,6030000,80100,86775,195000,16600
AR156613886504599552,Solidarité DéFI,,"BE, EU",EU-Parliament,2,1000,850,66500,1675,6300,22000,6500,277500,3700,4050,9000,750
AR156623232353435648,ILLINOIS REPUBLICAN PARTY,FEC ID C00005926,US,US-Federal,30,27500,23900,1984000,46700,177400,615000,178000,7717500,102800,111150,247500,21100
AR156845883458060288,NEWS FOR DEMOCRACY,EIN ID 83-1737240,US,US-Federal,4,44300,38900,3220000,76100,289300,1004000,290000,12532500,167800,181350,402000,34150
AR157010260446412800,JESSICA MORSE FOR CONGRESS,FEC ID C00650408,US,US-Federal,13,3800,3300,275500,6450,24500,85000,24500,1065000,14200,15375,34500,2900
